iata_code|municipality
FMY|FORT MYERS
FPF|FORT PIERCE
HUR|HURLBURT FIELD
GNV|J R ALISON MUNI - GAINESVILLE
JAC|JACKSONVILLE
KEY|KEY WEST
LEE|LEESBURG MUNICIPAL AIRPORT
MLB|MELBOURNE
MIA|MIAMI
APF|NAPLES
OPF|OPA LOCKA
ORL|ORLANDO
PAN|PANAMA CITY
PEN|PENSACOLA
PCF|PORT CANAVERAL
PEV|PORT EVERGLADES
PSJ|PORT ST JOE
SFB|SANFORD
SGJ|ST AUGUSTINE ARPT
SAU|ST AUGUSTINE
FPR|ST LUCIE COUNTY
SPE|ST PETERSBURG
TAM|TAMPA
WPB|WEST PALM BEACH
ATL|ATLANTA
BRU|BRUNSWICK
AGS|BUSH FIELD - AUGUSTA
SAV|SAVANNAH
AGA|AGANA
HHW|HONOLULU
OGG|KAHULUI - MAUI
KOA|KEAHOLE-KONA
LIH|LIHUE
CID|CEDAR RAPIDS/IOWA CITY
DSM|DES MOINES
BOI|AIR TERM. (GOWEN FLD) BOISE
EPI|EASTPORT
IDA|FANNING FIELD - IDAHO FALLS
PTL|PORTHILL
SPI|CAPITAL - SPRINGFIELD
CHI|CHICAGO
DPA|DUPAGE COUNTY
PIA|GREATER PEORIA
RFD|GREATER ROCKFORD
UGN|MEMORIAL - WAUKEGAN
GAR|GARY
HMM|HAMMOND
INP|INDIANAPOLIS
MRL|MERRILLVILLE
SBN|SOUTH BEND
ICT|MID-CONTINENT - WITCHITA
LEX|BLUE GRASS - LEXINGTON
LOU|LOUISVILLE
BTN|BATON ROUGE
LKC|LAKE CHARLES
LAK|LAKE CHARLES
MLU|MONROE
MGC|MORGAN CITY
NOL|NEW ORLEANS
BOS|BOSTON
GLO|GLOUCESTER
BED|HANSCOM FIELD - BEDFORD
LYN|LYNDEN
ADW|ANDREWS AFB
BAL|BALTIMORE
MKG|MUSKEGON
PAX|PATUXENT RIVER
BGM|BANGOR
BOO|BOOTHBAY HARBOR
BWM|BRIDGEWATER
BCK|BUCKPORT
CLS|CALAIS
CRB|CARIBOU
COB|COBURN GORE
EST|EASTCOURT
EPT|EASTPORT MUNICIPAL
EPM|EASTPORT
FOR|FOREST CITY
FTF|FORT FAIRFIELD
FTK|FORT KENT
HML|HAMIIN
HTM|HOULTON
JKM|JACKMAN
KAL|KALISPEL
LIM|LIMESTONE
LUB|LUBEC
MAD|MADAWASKA
POM|PORTLAND
RGM|RANGELEY
SBR|SOUTH BREWER
SRL|ST AURELIE
SPA|ST PAMPILE
VNB|VAN BUREN
VCB|VANCEBORO
AGN|ALGONAC
ALP|ALPENA
BCY|BAY CITY
DET|DETROIT
GRP|GRAND RAPIDS
GRO|GROSSE ISLE
ISL|ISLE ROYALE
MRC|MARINE CITY
MRY|MARYSVILLE
PTK|OAKLAND COUNTY - PONTIAC
PHU|PORT HURON
RBT|ROBERTS LANDING
SAG|SAGINAW
SSM|SAULT STE. MARIE
SCL|ST CLAIR
YIP|WILLOW RUN - YPSILANTI
BAU|BAUDETTE
CAR|CARIBOU MUNICIPAL AIRPORT
GTF|Collapsed into INT
INL|Collapsed into INT
CRA|CRANE LAKE
MIC|CRYSTAL MUNICIPAL AIRPORT
DUL|DULUTH
ELY|ELY
GPM|GRAND PORTAGE
SVC|GRANT COUNTY - SILVER CITY
INT|INTL FALLS
LAN|LANCASTER
MSP|MINN./ST PAUL
LIN|NORTHERN SVC CENTER
NOY|NOYES
PIN|PINE CREEK
48Y|PINECREEK BORDER ARPT
RAN|RAINER
RST|ROCHESTER
ROS|ROSEAU
SPM|ST PAUL
WSB|WARROAD INTL
WAR|WARROAD
KAN|KANSAS CITY
SGF|SPRINGFIELD-BRANSON
STL|ST LOUIS
WHI|WHITETAIL
WHM|WILD HORSE
GPT|BILOXI REGIONAL
GTR|GOLDEN TRIANGLE LOWNDES CNTY
GUL|GULFPORT
PAS|PASCAGOULA
JAN|THOMPSON FIELD - JACKSON
BIL|BILLINGS
BTM|BUTTE
CHF|CHIEF MT
CTB|CUT BANK MUNICIPAL
CUT|CUT BANK
DLB|DEL BONITA
EUR|EUREKA
BZN|GALLATIN FIELD - BOZEMAN
FCA|GLACIER NATIONAL PARK
GGW|GLASGOW
GRE|GREAT FALLS
HVR|HAVRE
HEL|HELENA
LWT|LEWISTON
MGM|MORGAN
OPH|OPHEIM
PIE|PIEGAN
RAY|RAYMOND
ROO|ROOSVILLE
SCO|SCOBEY
SWE|SWEETGTASS
TRL|TRIAL CREEK
TUR|TURNER
WCM|WILLOW CREEK
CLT|CHARLOTTE
FAY|FAYETTEVILLE
MRH|MOREHEAD CITY
FOP|MORRIS FIELDS AAF
GSO|PIEDMONT TRIAD INTL AIRPORT
RDU|RALEIGH/DURHAM
SSC|SHAW AFB - SUMTER
WIL|WILMINGTON
AMB|AMBROSE
ANT|ANTLER
CRY|CARBURY
DNS|DUNSEITH
FAR|FARGO
FRT|FORTUNA
GRF|GRAND FORKS
HNN|HANNAH
HNS|HANSBORO
MAI|MAIDA
MND|MINOT
NEC|NECHE
NOO|NOONAN
NRG|NORTHGATE
PEM|PEMBINA
SAR|SARLES
SHR|SHERWOOD
SJO|ST JOHN
WAL|WALHALLA
WHO|WESTHOPE
WND|WILLISTON
OMA|OMAHA
LEB|LEBANON
MHT|MANCHESTER
PNH|PITTSBURG
PSM|PORTSMOUTH
BYO|BAYONNE
CNJ|CAMDEN
HOB|HOBOKEN
JER|JERSEY CITY
WRI|MC GUIRE AFB - WRIGHTSOWN
MMU|MORRISTOWN
NEW|NEWARK/TETERBORO
PER|PERTH AMBOY
ACY|POMONA FIELD - ATLANTIC CITY
ALA|ALAMAGORDO
ABQ|ALBUQUERQUE
ANP|ANTELOPE WELLS
CRL|CARLSBAD
COL|COLUMBUS
CDD|CRANE LAKE - ST. LOUIS CNTY
DNM|DEMING
LAS|LAS CRUCES
LOB|LORDSBURG
RUI|RUIDOSO
STR|SANTA TERESA
RNO|CANNON INTL - RENO/TAHOE
FLX|FALLON MUNICIPAL AIRPORT
LVG|LAS VEGAS
REN|RENO
ALB|ALBANY
AXB|ALEXANDRIA BAY
BUF|BUFFALO
CNH|CANNON CORNERS
CAP|CAPE VINCENT
CHM|CHAMPLAIN
CHT|CHATEAUGAY
CLA|CLAYTON
FTC|FORT COVINGTON
LAG|LA GUARDIA
LEW|LEWISTON
MAS|MASSENA
MAG|MCGUIRE AFB
MOO|MOORES
MRR|MORRISTOWN
NYC|NEW YORK
NIA|NIAGARA FALLS
OGD|OGDENSBURG
OSW|OSWEGO
ELM|REGIONAL ARPT - HORSEHEAD
ROC|ROCHESTER
ROU|ROUSES POINT
SWF|STEWART - ORANGE CNTY
SYR|SYRACUSE
THO|THOUSAND ISLAND BRIDGE
TRO|TROUT RIVER
WAT|WATERTOWN
HPN|WESTCHESTER - WHITE PLAINS
WRB|WHIRLPOOL BRIDGE
YOU|YOUNGSTOWN
AKR|AKRON
ATB|ASHTABULA
CIN|CINCINNATI
CLE|CLEVELAND
CLM|COLUMBUS
LOR|LORAIN
MBO|MARBLE HEADS
SDY|SANDUSKY
TOL|TOLEDO
OKC|OKLAHOMA CITY
TUL|TULSA
AST|ASTORIA
COO|COOS BAY
HIO|HILLSBORO
MED|MEDFORD
NPT|NEWPORT
POO|PORTLAND
PUT|PUT-IN-BAY
RDM|ROBERTS FIELDS - REDMOND
ERI|ERIE
MDT|HARRISBURG
HSB|HARRISONBURG
PHI|PHILADELPHIA
PIT|PITTSBURG
AGU|AGUADILLA
BQN|BORINQUEN - AGUADILLO
JCP|CULEBRA - BENJAMIN RIVERA
ENS|ENSENADA
FAJ|FAJARDO
HUM|HUMACAO
JOB|JOBOS
MAY|MAYAGUEZ
PON|PONCE
PSE|PONCE-MERCEDITA
SAJ|SAN JUAN
VQS|VIEQUES-ARPT
PRO|PROVIDENCE
PVD|THEODORE FRANCIS - WARWICK
CHL|CHARLESTON
CAE|COLUMBIA
GEO|GEORGETOWN
GSP|GREENVILLE
GRR|GREER
MYR|MYRTLE BEACH
SPF|BLACK HILLS
HON|HOWES REGIONAL ARPT - HURON
SAI|SAIPAN
TYS|MC GHEE TYSON - ALCOA
MEM|MEMPHIS
NSV|NASHVILLE
TRI|TRI CITY ARPT
ADS|ADDISON AIRPORT- ADDISON
ADT|AMISTAD DAM
ANZ|ANZALDUAS
AUS|AUSTIN
BEA|BEAUMONT
BBP|BIG BEND PARK
SCC|BP SPEC COORD. CTR
BTC|BP TACTICAL UNIT
BOA|BRIDGE OF AMERICAS
BRO|BROWNSVILLE
CRP|CORPUS CHRISTI
DAL|DALLAS
DLR|DEL RIO
DNA|DONNA
EGP|EAGLE PASS
ELP|EL PASO
FAB|FABENS
FAL|FALCON HEIGHTS
FTH|FORT HANCOCK
AFW|FORT WORTH ALLIANCE
FPT|FREEPORT
GAL|GALVESTON
HLG|HARLINGEN
HID|HIDALGO
HOU|HOUSTON
SGR|HULL FIELD
LLB|JUAREZ-LINCOLN BRIDGE
LCB|LAREDO COLUMBIA BRIDGE
LRN|LAREDO NORTH
LAR|LAREDO
LSE|LOS EBANOS
IND|LOS INDIOS
LOI|LOS INDIOS
MRS|MARFA
MCA|MCALLEN
MAF|ODESSA REGIONAL
PDN|PASO DEL NORTE
PBB|PEACE BRIDGE
PHR|PHARR
PAR|PORT ARTHUR
ISB|PORT ISABEL
POE|PORT OF EL PASO
PRE|PRESIDIO
PGR|PROGRESO
RIO|RIO GRANDE CITY
ROM|ROMA
SNA|SAN ANTONIO
SNN|SANDERSON
VIB|VETERAN INTL BRIDGE
YSL|YSLETA
CHA|CHARLOTTE AMALIE
CHR|CHRISTIANSTED
CRU|CRUZ BAY
FRK|FREDERIKSTED
STT|ST THOMAS
LGU|CACHE AIRPORT - LOGAN
SLC|SALT LAKE CITY
CHO|ALBEMARLE CHARLOTTESVILLE
DAA|DAVISON AAF - FAIRFAX CNTY
HOP|HOPEWELL
HEF|MANASSAS
NWN|NEWPORT
NOR|NORFOLK
RCM|RICHMOND
ABS|ALBURG SPRINGS
ABG|ALBURG
BEB|BEEBE PLAIN
BEE|BEECHER FALLS
BRG|BURLINGTON
CNA|CANAAN
DER|DERBY LINE
DLV|DERBY LINE
ERC|EAST RICHFORD
HIG|HIGHGATE SPRINGS
MOR|MORSES LINE
NPV|NEWPORT
NRT|NORTH TROY
NRN|NORTON
PIV|PINNACLE ROAD
RIF|RICHFORT
STA|ST ALBANS
SWB|SWANTON
WBE|WEST BERKSHIRE
ABE|ABERDEEN
ANA|ANACORTES
BEL|BELLINGHAM
BLI|BELLINGHAM
BLA|BLAINE
BWA|BOUNDARY
CUR|CURLEW
DVL|DANVILLE
EVE|EVERETT
FER|FERRY
FRI|FRIDAY HARBOR
FWA|FRONTIER
KLM|KALAMA
LAU|LAURIER
LON|LONGVIEW
MET|METALINE FALLS
MWH|MOSES LAKE GRANT COUNTY ARPT
NEA|NEAH BAY
NIG|NIGHTHAWK
OLY|OLYMPIA
ORO|OROVILLE
PWB|PASCO
PIR|POINT ROBERTS
PNG|PORT ANGELES
PTO|PORT TOWNSEND
SEA|SEATTLE
SPO|SPOKANE
SUM|SUMAS
TAC|TACOMA
PSC|TRI-CITIES - PASCO
VAN|VANCOUVER
AGM|ALGOMA
BAY|BAYFIELD
GRB|GREEN BAY
MNW|MANITOWOC
MIL|MILWAUKEE
MSN|TRUAX FIELD - DANE COUNTY
CHS|CHARLESTON
CLK|CLARKSBURG
BLF|MERCER COUNTY
CSP|CASPER
XXX|NOT REPORTED/UNKNOWN   
888|UNIDENTIFED AIR / SEAPORT
UNK|UNKNOWN POE           
CLG|CALGARY
EDA|EDMONTON
YHC|HAKAI PASS
HAL|Halifax
MON|MONTREAL
OTT|OTTAWA
YXE|SASKATOON
TOR|TORONTO
VCV|VANCOUVER
VIC|VICTORIA
WIN|WINNIPEG
AMS|AMSTERDAM-SCHIPHOL
ARB|ARUBA
BAN|BANKOK
BEI|BEICA #ARPT
PEK|BEIJING CAPITAL INTL
BDA|KINDLEY FIELD
BOG|BOGOTA
EZE|BUENOS AIRES
CUN|CANCUN
CRQ|CARAVELAS
MVD|CARRASCO
DUB|DUBLIN
FOU|FOUGAMOU #ARPT
FBA|FREEPORT
MTY|GEN M. ESCOBEDO
HMO|GEN PESQUEIRA GARCIA
GCM|GRAND CAYMAN
GDL|GUADALAJARA
HAM|HAMILTON
ICN|INCHON
IWA|INVALID - IWAKUNI
CND|KOGALNICEANU
LAH|LABUHA ARPT
DUR|LOUIS BOTHA
MAL|MANGOLE ARPT
MDE|MEDELLIN
MEX|JUAREZ INTL
LHR|MIDDLESEX
NBO|NAIROBI
NAS|NASSAU
NCA|NORTH CAICOS
PTY|OMAR TORRIJOS
SPV|PAPUA
UIO|QUITO (MARISCAL SUCR)
RIT|ROME
SNO|SAKON NAKHON #ARPT
SLP|SAN LUIS POTOSI #ARPT
SAN|SAN SALVADOR
SRO|SANTANA RAMOS #ARPT
GRU|GUARULHOS INTL
SHA|SHANNON
HIL|SHILLAVO
TOK|TOROKINA #ARPT
VER|VERACRUZ
LGW|WEST SUSSEX
ZZZ|MEXICO Land (Banco de Mexico) 
CHN|No PORT Code (CHN)
CNC|CANNON CORNERS
MAA|Abu Dhabi
AG0|MAGNOLIA
BHM|BAR HARBOR
BHX|BIRMINGHAM
CAK|AKRON
FOK|SUFFOLK COUNTY
LND|LANDER
MAR|MARFA
MLI|MOLINE
RIV|RIVERSIDE
RME|ROME
VNY|VAN NUYS
YUM|YUMA
FRG|Collapsed (FOK) 06/15
HRL|Collapsed (HLG) 06/15
ISP|Collapsed (FOK) 06/15
JSJ|Collapsed (SAJ) 06/15
BUS|Collapsed (BUF) 06/15
IAG|Collapsed (NIA) 06/15
PHN|Collapsed (PHU) 06/15
STN|Collapsed (STR) 06/15
VMB|Collapsed (VNB) 06/15
T01|Collapsed (SEA) 06/15
PHF|No PORT Code (PHF)
DRV|No PORT Code (DRV)
FTB|No PORT Code (FTB)
GAC|No PORT Code (GAC)
GMT|No PORT Code (GMT)
JFA|No PORT Code (JFA)
JMZ|No PORT Code (JMZ)
NC8|No PORT Code (NC8)
NYL|No PORT Code (NYL)
OAI|No PORT Code (OAI)
PCW|No PORT Code (PCW)
WA5|No PORT Code (WAS)
WTR|No PORT Code (WTR)
X96|No PORT Code (X96)
XNA|No PORT Code (XNA)
YGF|No PORT Code (YGF)
5T6|No PORT Code (5T6)
060|No PORT Code (60)
SP0|No PORT Code (SP0)
W55|No PORT Code (W55)
X44|No PORT Code (X44)
AUH|No PORT Code (AUH)
RYY|No PORT Code (RYY)
SUS|No PORT Code (SUS)
74S|No PORT Code (74S)
ATW|No PORT Code (ATW)
CPX|No PORT Code (CPX)
MTH|No PORT Code (MTH)
PFN|No PORT Code (PFN)
SCH|No PORT Code (SCH)
ASI|No PORT Code (ASI)
BKF|No PORT Code (BKF)
DAY|No PORT Code (DAY)
Y62|No PORT Code (Y62)
AG|No PORT Code (AG)
BCM|No PORT Code (BCM)
DEC|No PORT Code (DEC)
PLB|No PORT Code (PLB)
CXO|No PORT Code (CXO)
JBQ|No PORT Code (JBQ)
JIG|No PORT Code (JIG)
OGS|No PORT Code (OGS)
TIW|No PORT Code (TIW)
OTS|No PORT Code (OTS)
AMT|No PORT Code (AMT)
EGE|No PORT Code (EGE)
GPI|No PORT Code (GPI)
NGL|No PORT Code (NGL)
OLM|No PORT Code (OLM)
.GA|No PORT Code (.GA)
CLX|No PORT Code (CLX)
CP |No PORT Code (CP)
FSC|No PORT Code (FSC)
NK |No PORT Code (NK)
ADU |No PORT Code (ADU)
AKT |No PORT Code (AKT)
LIT |No PORT Code (LIT)
A2A |No PORT Code (A2A)
OSN |No PORT Code (OSN)

